message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
118;7.13201;0.000000;0.810485;2.076546;0.437676;2.249175;2.178096;0.015769;;;;118;7.13201;0.000000;0.810485;2.076546;0.437676;2.249175;2.178096;0.015769
119;7.19205;0.000000;0.810505;2.076262;0.437675;2.249213;2.178057;0.015769;;;;119;7.19205;0.000000;0.810505;2.076262;0.437675;2.249213;2.178057;0.015769
120;7.25285;0.000000;0.810517;2.076023;0.437674;2.249090;2.178182;0.015769;;;;120;7.25285;0.000000;0.810517;2.076023;0.437674;2.249090;2.178182;0.015769
121;7.33194;0.000000;0.810530;2.075792;0.437679;2.249078;2.178175;0.015745;;;;121;7.33194;0.000000;0.810530;2.075792;0.437679;2.249078;2.178175;0.015745
122;7.38402;0.000000;0.810567;2.075543;0.437676;2.249037;2.178216;0.015745;;;;122;7.38402;0.000000;0.810567;2.075543;0.437676;2.249037;2.178216;0.015745
123;7.44405;0.000000;0.810603;2.075258;0.437674;2.249088;2.178164;0.015745;;;;123;7.44405;0.000000;0.810603;2.075258;0.437674;2.249088;2.178164;0.015745
124;7.50493;0.000000;0.810627;2.075018;0.437678;2.249048;2.178205;0.015745;;;;124;7.50493;0.000000;0.810627;2.075018;0.437678;2.249048;2.178205;0.015745
125;7.56951;0.000000;0.810643;2.074760;0.437677;2.249102;2.178150;0.015745;;;;125;7.56951;0.000000;0.810643;2.074760;0.437677;2.249102;2.178150;0.015745
126;7.63135;0.000000;0.810655;2.074530;0.437682;2.249134;2.178116;0.015746;;;;126;7.63135;0.000000;0.810655;2.074530;0.437682;2.249134;2.178116;0.015746
127;7.684;0.000000;0.810669;2.074334;0.437681;2.249088;2.178163;0.015745;;;;127;7.684;0.000000;0.810669;2.074334;0.437681;2.249088;2.178163;0.015745
