message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
209;12.5799;0.000000;0.772610;2.090703;0.402615;1.165793;-2.712945;0.273895
210;12.6399;0.000000;0.772792;2.090361;0.403898;1.162107;-2.724679;0.270613
211;12.7;0.000000;0.772968;2.090020;0.405166;1.158286;-2.736289;0.267404
212;12.76;0.000000;0.773151;2.089729;0.406467;1.154590;-2.748016;0.264169
213;12.826;0.000000;0.773275;2.089439;0.407682;1.150708;-2.759319;0.260809
214;12.886;0.000000;0.773399;2.089106;0.408916;1.146704;-2.770678;0.257475
215;12.9499;0.000000;0.773517;2.088782;0.410080;1.142515;-2.781658;0.254056
216;13.0099;0.000000;0.773650;2.088467;0.411217;1.138133;-2.792206;0.251337
217;13.07;0.000000;0.773756;2.088151;0.412337;1.133789;-2.802730;0.248248
218;13.13;0.000000;0.773870;2.087852;0.413414;1.129338;-2.812966;0.245171
219;13.19;0.000000;0.773985;2.087553;0.414446;1.124651;-2.822777;0.242368
220;13.25;0.000000;0.774097;2.087255;0.415684;1.119937;-2.832841;0.239164
221;13.3099;0.000000;0.774195;2.086956;0.417013;1.115021;-2.842343;0.236546
222;13.3699;0.000000;0.774277;2.086641;0.418166;1.109997;-2.851829;0.233422
223;13.4299;0.000000;0.774376;2.086359;0.419254;1.104898;-2.860998;0.230706
224;13.49;0.000000;0.774503;2.086076;0.420390;1.099790;-2.870056;0.227734
225;13.55;0.000000;0.774581;2.085803;0.421480;1.094560;-2.878789;0.225012
226;13.61;0.000000;0.774643;2.085513;0.422577;1.089298;-2.887465;0.222142
227;13.6699;0.000000;0.774722;2.085232;0.423614;1.083986;-2.895833;0.219522
228;13.7299;0.000000;0.774793;2.084959;0.424630;1.078509;-2.904127;0.216817
229;13.7899;0.000000;0.774846;2.084694;0.425643;1.072954;-2.912093;0.214419
230;13.8499;0.000000;0.774920;2.084438;0.426609;1.067382;-2.920201;0.211441
231;13.91;0.000000;0.774992;2.084199;0.427393;1.061791;-2.927798;0.209025
232;13.97;0.000000;0.775046;2.083943;0.428359;1.056140;-2.935356;0.206367
233;14.03;0.000000;0.775116;2.083686;0.429629;1.050352;-2.942708;0.204090
234;14.09;0.000000;0.775178;2.083430;0.430496;1.044574;-2.949904;0.201587
235;14.15;0.000000;0.775209;2.083158;0.431368;1.038709;-2.957048;0.198946
236;14.2099;0.000000;0.775269;2.082918;0.432224;-1.030650;2.957627;-0.196073
237;14.274;0.000000;0.775341;2.082713;0.433057;-1.022118;2.956300;-0.193010
238;14.334;0.000000;0.775412;2.082490;0.433868;-1.013511;2.955091;-0.190370
239;14.394;0.000000;0.775474;2.082293;0.434667;-1.004903;2.953834;-0.187195
240;14.454;0.000000;0.775538;2.082070;0.435486;-0.996412;2.952694;-0.184583
