message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
273;16.542;0.000000;0.777406;2.077735;0.452536;-0.753512;2.946158;-0.112345
274;16.602;0.000000;0.777467;2.077690;0.452823;-0.747085;2.946538;-0.110484
275;16.662;0.000000;0.777548;2.077654;0.453085;-0.740782;2.946996;-0.108703
276;16.722;0.000000;0.777585;2.077627;0.453334;-0.734488;2.947493;-0.106991
277;16.782;0.000000;0.777633;2.077600;0.453548;-0.728178;2.947967;-0.105248
278;16.842;0.000000;0.777703;2.077572;0.453778;-0.721914;2.948489;-0.103603
279;16.902;0.000000;0.777772;2.077552;0.454021;-0.715675;2.949164;-0.102206
280;16.962;0.000000;0.777806;2.077526;0.454221;-0.709363;2.949761;-0.100675
281;17.022;0.000000;0.777867;2.077498;0.454406;-0.703143;2.950390;-0.099216
282;17.082;0.000000;0.777941;2.077470;0.454619;-0.697084;2.951076;-0.097914
283;17.142;0.000000;0.778003;2.077451;0.454811;-0.691099;2.951798;-0.096683
284;17.202;0.000000;0.778045;2.077450;0.454996;-0.685160;2.952357;-0.094929
285;17.27;0.000000;0.778096;2.077439;0.455152;-0.679271;2.952791;-0.092293
286;17.33;0.000000;0.778172;2.077437;0.455279;-0.673386;2.953345;-0.090081
287;17.392;0.000000;0.778214;2.077435;0.455441;-0.667550;2.954096;-0.088615
288;17.452;0.000000;0.778231;2.077435;0.455605;-0.661785;2.954775;-0.086914
289;17.512;0.000000;0.778266;2.077434;0.455750;-0.656065;2.955528;-0.085307
290;17.572;0.000000;0.778346;2.077431;0.455866;-0.650359;2.956334;-0.083960
291;17.632;0.000000;0.778461;2.077427;0.455968;-0.644683;2.957165;-0.082535
292;17.6919;0.000000;0.778507;2.077426;0.456066;-0.638951;2.957981;-0.080890
293;17.752;0.000000;0.778520;2.077434;0.456137;-0.633323;2.958823;-0.079544
294;17.8119;0.000000;0.778546;2.077433;0.456206;-0.627731;2.959670;-0.077972
295;17.8719;0.000000;0.778592;2.077431;0.456331;-0.622158;2.960534;-0.076706
296;17.932;0.000000;0.778660;2.077438;0.456476;-0.616658;2.961316;-0.074829
297;17.992;0.000000;0.778717;2.077444;0.456527;-0.611188;2.962243;-0.073721
298;18.052;0.000000;0.778766;2.077468;0.456558;-0.605670;2.963116;-0.072118
299;18.112;0.000000;0.778793;2.077527;0.456606;-0.600319;2.963969;-0.070669
300;18.172;0.000000;0.778810;2.077578;0.456678;-0.594960;2.964783;-0.068978
