message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
44;2.64978;0.964257;0.011651;0.995280;0.096347;0.782706;0.929480;-0.046307;0.365953;2.044370;0.368687;0.085289;-0.925632;0.181332;0.011474;0.995209;0.097097;0.782847;0.928305;-0.046692;0.368876;2.043561;0.371642;0.085903;-0.924393;0.181000;-0.012019;0.000000;-0.000000;0.000936;0.000000;0.000000;-0.011592;0.047654;0.000000;0.011982;-0.034235;-0.000000;
45;2.70972;0.961818;0.011387;0.995211;0.097082;0.782640;0.928396;-0.046585;0.368661;2.043725;0.371418;0.085933;-0.924480;0.181089;0.011198;0.995145;0.097783;0.782838;0.927256;-0.046935;0.371475;2.042895;0.374261;0.086510;-0.923279;0.180733;-0.011963;0.000000;-0.000000;0.000931;-0.000000;0.000000;-0.010960;0.047242;0.000000;0.010538;-0.006876;-0.000000;
46;2.76985;0.964138;0.011136;0.995146;0.097775;0.782575;0.927378;-0.046847;0.371181;2.043049;0.373960;0.086540;-0.923398;0.180791;0.010923;0.995084;0.098432;0.782830;0.926211;-0.047167;0.374043;2.042232;0.376847;0.087084;-0.922173;0.180466;-0.011908;0.000000;-0.000000;0.000925;0.000000;0.000000;-0.010354;0.046714;0.000000;0.010089;-0.008787;-0.000000;
47;2.82975;0.962131;0.010891;0.995092;0.098353;0.782496;0.926354;-0.047074;0.373701;2.042386;0.376497;0.087040;-0.922320;0.180511;0.010646;0.995025;0.099057;0.782823;0.925158;-0.047391;0.376611;2.041574;0.379432;0.087634;-0.921060;0.180198;-0.011853;0.000000;-0.000000;0.000920;0.000000;0.000000;-0.009951;0.046746;0.000000;0.006717;0.000520;-0.000000;
48;2.88978;0.957871;0.010652;0.995033;0.098973;0.782548;0.925332;-0.047324;0.376192;2.041711;0.379007;0.087576;-0.921240;0.180220;0.010361;0.994967;0.099671;0.782815;0.924073;-0.047613;0.379238;2.040919;0.382075;0.088174;-0.919915;0.179930;-0.011798;0.000000;-0.000000;0.000915;0.000000;0.000000;-0.009784;0.047851;0.000000;0.002783;0.018417;-0.000000;
49;2.94973;0.962249;0.010362;0.994967;0.099666;0.782629;0.924176;-0.047588;0.378991;2.041067;0.381827;0.088182;-0.920018;0.179976;0.010076;0.994910;0.100261;0.782808;0.922988;-0.047827;0.381844;2.040268;0.384696;0.088692;-0.918772;0.179660;-0.011743;0.000000;-0.000000;0.000910;0.000000;0.000000;-0.009395;0.047514;0.000000;0.006493;-0.005617;-0.000000;
50;3.0098;0.960855;0.010039;0.994902;0.100347;0.782718;0.923059;-0.047810;0.381675;2.040417;0.384526;0.088795;-0.918833;0.179772;0.009784;0.994858;0.100801;0.782801;0.921877;-0.048024;0.384496;2.039620;0.387360;0.089164;-0.917607;0.179390;-0.011689;0.000000;-0.000000;0.000904;0.000000;0.000000;-0.008566;0.048360;0.000000;0.013807;0.014106;-0.000000;
51;3.06972;0.955467;0.009744;0.994850;0.100891;0.782753;0.921957;-0.048004;0.384305;2.039758;0.387169;0.089272;-0.917677;0.179455;0.009493;0.994814;0.101265;0.782794;0.920768;-0.048193;0.387123;2.038977;0.389996;0.089566;-0.916450;0.179120;-0.011635;0.000000;-0.000000;0.000899;-0.000000;0.000000;-0.007301;0.047906;0.000000;0.021089;-0.007559;-0.000000;
52;3.12987;0.956834;0.009555;0.994817;0.101233;0.782757;0.920919;-0.048202;0.386762;2.039042;0.389637;0.089532;-0.916606;0.179157;0.009208;0.994774;0.101687;0.782787;0.919676;-0.048348;0.389690;2.038337;0.392569;0.089931;-0.915315;0.178849;-0.011581;0.000000;-0.000000;0.000894;0.000000;0.000000;-0.006636;0.046828;0.000000;0.011086;-0.017967;-0.000000;
53;3.18999;0.955740;0.009197;0.994765;0.101773;0.782795;0.919747;-0.048355;0.389522;2.038440;0.392404;0.090023;-0.915377;0.178947;0.008922;0.994736;0.102084;0.782781;0.918578;-0.048494;0.392254;2.037701;0.395139;0.090273;-0.914175;0.178578;-0.011528;0.000000;-0.000000;0.000889;0.000000;0.000000;-0.006231;0.046825;0.000000;0.006751;-0.000057;-0.000000;
